volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.0077180624008178714,0.0029536480632439467,84.0,0.0,0.1151130199432373,0.0060520172119140625,0.01100778579711914,0.010944843292236328,0.01153421401977539,0.004967927932739258,0.004984855651855469,0.010449886322021484,0.0047109127044677734,0.004819154739379883,0.007709026336669922,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
20.0,8000.0,0.09413566589355468,0.001059497741035455,190.0,0.0,0.09472203254699707,0.09455704689025879,0.09485387802124023,0.09203600883483887,0.09479308128356934,0.09464693069458008,0.09447908401489258,0.09464287757873535,0.09441804885864258,0.0946798324584961,0.09224987030029297,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0
30.0,27000.0,0.7777750253677368,0.08889747672411893,238.0,0.0,0.7157509326934814,0.9736328125,0.7857699394226074,0.7864518165588379,0.6413779258728027,0.7887508869171143,0.7876749038696289,0.7836790084838867,0.6609611511230469,0.7811369895935059,0.7883148193359375,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0
40.0,64000.0,2.9650222778320314,0.1533049438604122,480.0,0.0,2.3310611248016357,2.983450174331665,2.7779619693756104,3.030951976776123,3.226269006729126,2.8785197734832764,3.1896121501922607,2.9287009239196777,2.818610906600952,2.9987058639526367,2.8174400329589844,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
50.0,125000.0,7.750074815750122,0.1525906225821188,960.4,15.04954779682396,8.132673025131226,7.630505084991455,8.020954847335815,7.8263938426971436,7.875829219818115,7.7079010009765625,7.8216941356658936,7.4849560260772705,7.784536123275757,7.6022889614105225,7.7456889152526855,966.0,980.0,980.0,966.0,952.0,966.0,938.0,966.0,938.0,952.0
60.0,216000.0,20.213806247711183,0.9444183256775773,1327.2,14.459137825841022,20.365065097808838,19.185132026672363,19.616212129592896,19.771038055419922,19.462818145751953,19.62405800819397,21.096590042114258,20.95359492301941,22.246780157089233,20.005964040756226,20.175874948501587,1316.0,1330.0,1316.0,1316.0,1316.0,1316.0,1358.0,1344.0,1330.0,1330.0
80.0,512000.0,68.30955135822296,0.8271073375472134,1305.0,0.0,65.22460794448853,67.28231692314148,67.84949779510498,68.1715190410614,68.99603915214539,68.18217992782593,68.49629402160645,67.16047310829163,67.93749690055847,69.57486081123352,69.44483590126038,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0
100.0,1.0e6,204.58571856021882,0.8523465186235958,1734.0,0.0,201.6539649963379,204.06167888641357,204.9792399406433,203.18006587028503,205.09784197807312,203.8933298587799,204.82412195205688,204.8031439781189,205.67379808425903,205.6938760280609,203.65008902549744,1734.0,1734.0,1734.0,1734.0,1734.0,1734.0,1734.0,1734.0,1734.0,1734.0
