volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.004153895378112793,0.0025250569850471328,20.0,0.0,0.003420114517211914,0.0033800601959228516,0.003412008285522461,0.003350973129272461,0.0033440589904785156,0.0033681392669677734,0.003350973129272461,0.011339902877807617,0.0033190250396728516,0.0033559799194335938,0.0033178329467773438,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,8000.0,0.02491323947906494,0.0016768019632525414,20.0,0.0,0.022966861724853516,0.025976896286010742,0.022997140884399414,0.026574134826660156,0.02615213394165039,0.02301311492919922,0.026450157165527344,0.022958040237426758,0.026054859161376953,0.02293992042541504,0.0260159969329834,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
30.0,27000.0,0.17561569213867187,0.09668485888124492,30.0,0.0,0.1386120319366455,0.1377429962158203,0.13546395301818848,0.1381700038909912,0.17282605171203613,0.4488868713378906,0.1426560878753662,0.14091897010803223,0.14295411109924316,0.15679502487182617,0.13974285125732422,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
40.0,64000.0,0.4198457717895508,0.13373932123715465,30.0,0.0,0.3535888195037842,0.3414599895477295,0.5334739685058594,0.337007999420166,0.33518004417419434,0.3301708698272705,0.6500680446624756,0.3479020595550537,0.34273290634155273,0.33887791633605957,0.6415839195251465,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
50.0,125000.0,1.0904036998748778,0.13773485134769226,40.0,0.0,0.9333629608154297,1.100571870803833,1.0053391456604004,1.1945970058441162,0.9960780143737793,1.268244981765747,0.9486351013183594,1.2435619831085205,0.9410429000854492,1.254370927810669,0.9515950679779053,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
#60.0,216000.0,2.0118065595626833,0.2726506564565769,40.0,0.0,1.7013320922851562,2.1520020961761475,1.8021728992462158,2.2436728477478027,1.7124791145324707,2.0899999141693115,1.701693058013916,2.1941399574279785,1.8783988952636719,2.530634880065918,1.8128719329833984,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
#80.0,512000.0,6.066391706466675,0.306085069180944,50.0,0.0,6.537664175033569,6.317741870880127,6.020691156387329,5.818731069564819,6.6582441329956055,6.088758945465088,5.734933853149414,5.871049880981445,5.757829904556274,6.407663106918335,5.9882731437683105,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
#100.0,1.0e6,15.900303101539611,0.5130484180396423,60.0,0.0,16.003650903701782,15.507948160171509,15.034757852554321,15.772067070007324,15.756340026855469,16.168070077896118,15.703582048416138,15.67360806465149,16.4813129901886,16.852110862731934,16.053233861923218,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
