volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.013974165916442871,0.006151131258128997,60.0,0.0,0.684316873550415,0.028356075286865234,0.021225929260253906,0.014496803283691406,0.008878946304321289,0.011656999588012695,0.011662006378173828,0.011518001556396484,0.01155400276184082,0.008832931518554688,0.01155996322631836,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
20.0,8000.0,0.25989580154418945,0.09561882833762948,110.0,0.0,1.1107089519500732,0.24945497512817383,0.2325139045715332,0.22442913055419922,0.5311808586120605,0.22989201545715332,0.22992610931396484,0.22799992561340332,0.22577404975891113,0.224898099899292,0.22288894653320312,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
30.0,27000.0,1.8967275619506836,0.14128059563414005,160.0,0.0,3.152858018875122,1.9882500171661377,1.779914140701294,2.079779863357544,1.7624788284301758,2.0426409244537354,1.777444839477539,2.012444019317627,1.763782024383545,2.019847869873047,1.7406930923461914,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
40.0,64000.0,8.250128579139709,0.27504656836596963,220.0,0.0,10.802253007888794,8.220295906066895,8.468682050704956,8.035226821899414,8.785604000091553,8.03481912612915,8.30277395248413,7.9451329708099365,8.219255924224854,7.965355157852173,8.524139881134033,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
50.0,125000.0,23.432415461540224,0.589574739124658,270.0,0.0,25.43691897392273,24.190624952316284,22.30433988571167,23.296399116516113,22.92816996574402,23.412168979644775,23.321036100387573,23.63316583633423,23.202412843704224,24.346962928771973,23.688874006271362,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
60.0,216000.0,54.497799324989316,1.0685754070491074,320.0,0.0,58.93501901626587,53.610066175460815,53.86661386489868,53.80796813964844,55.82599210739136,55.41884779930115,54.42146706581116,53.810296058654785,53.92068815231323,53.67412304878235,56.621930837631226,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
80.0,512000.0,215.9034499168396,3.7001105233203155,420.0,0.0,234.94214391708374,217.1190481185913,215.9297649860382,222.84988403320312,213.7807970046997,220.53522396087646,215.7425229549408,215.5460228919983,215.40192818641663,211.4480459690094,210.68126106262207,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
100.0,1.0e6,755.1338923692704,4.388500403854353,520.0,0.0,780.4984278678894,757.7394440174103,759.515457868576,750.7013809680939,749.3433368206024,755.3279778957367,750.3113250732422,758.6999740600586,756.4571778774261,761.7193341255188,751.5235149860382,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0
