volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.009488224983215332,0.0030901781679781156,56.0,0.0,0.31719303131103516,0.015043973922729492,0.0068187713623046875,0.01297307014465332,0.006921052932739258,0.012323856353759766,0.0068628787994384766,0.010120868682861328,0.006845951080322266,0.010049819946289062,0.006922006607055664,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
20.0,8000.0,0.14434492588043213,0.008132513558316902,114.0,0.0,0.143341064453125,0.13925504684448242,0.14691591262817383,0.15722393989562988,0.15273308753967285,0.14364004135131836,0.14947891235351562,0.14953017234802246,0.13443398475646973,0.13658404350280762,0.13365411758422852,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0
30.0,27000.0,1.2106166362762452,0.07852617922868019,170.0,0.0,1.209503173828125,1.298680067062378,1.288787841796875,1.1413259506225586,1.1441819667816162,1.144423007965088,1.312619924545288,1.1534218788146973,1.1744818687438965,1.3037729263305664,1.1444709300994873,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
40.0,64000.0,3.6074982643127442,0.17603439465179882,288.0,0.0,3.5319390296936035,3.3940370082855225,3.9799389839172363,3.485921859741211,3.5664069652557373,3.5150930881500244,3.828665018081665,3.6876158714294434,3.542773962020874,3.54772686958313,3.5268030166625977,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0
50.0,125000.0,10.457101106643677,0.26216281137082265,574.0,0.0,10.461751937866211,10.489027976989746,10.918071031570435,10.101778030395508,10.267132997512817,10.28395700454712,10.472574949264526,10.755958080291748,10.296757936477661,10.275039911270142,10.710713148117065,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0
#60.0,216000.0,25.17223346233368,0.3639905867476439,798.0,0.0,29.598867893218994,26.08247399330139,24.879910945892334,25.248573780059814,24.768905878067017,24.967264890670776,25.01412606239319,25.20719003677368,25.2971351146698,25.233808994293213,25.022944927215576,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0,798.0
#80.0,512000.0,87.26013689041137,0.5901720479779649,783.0,0.0,85.20345497131348,87.0194079875946,86.60479998588562,86.70035791397095,87.96209716796875,86.98504400253296,87.16487288475037,86.95344305038452,88.25582194328308,88.01455211639404,86.94097185134888,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0
#100.0,1.0e6,231.69625661373138,1.2395890404442436,986.0,0.0,230.1758120059967,232.86769104003906,230.7086980342865,233.02063298225403,231.88089299201965,230.7018358707428,229.3822991847992,233.0672709941864,231.4133939743042,232.75100994110107,231.16884112358093,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0
