volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.014701914787292481,0.004675078137294847,40.0,0.0,2.0018351078033447,0.025289058685302734,0.017501115798950195,0.012619972229003906,0.012559890747070312,0.012274026870727539,0.009978055953979492,0.012069940567016602,0.011994123458862305,0.013216018676757812,0.019516944885253906,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
20.0,8000.0,0.3765024423599243,0.08161331808167695,80.0,0.0,0.36449694633483887,0.3531970977783203,0.341961145401001,0.36516404151916504,0.33562493324279785,0.5775609016418457,0.341717004776001,0.46468496322631836,0.3329150676727295,0.32921409606933594,0.3229851722717285,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
30.0,27000.0,2.0746704578399657,0.2998010841925311,110.0,0.0,2.268317937850952,2.1933019161224365,2.096705913543701,2.194913864135742,1.8417270183563232,2.151671886444092,1.7791979312896729,2.2018320560455322,1.799367904663086,2.735476016998291,1.7525100708007812,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
40.0,64000.0,8.191463160514832,0.535022515883188,150.0,0.0,9.091731071472168,8.501588821411133,8.592246055603027,8.504341840744019,8.204466104507446,7.689132928848267,8.942004919052124,8.092153072357178,7.533017873764038,7.286232948303223,8.569447040557861,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
50.0,125000.0,21.959778571128844,0.7965595064829791,180.0,0.0,21.435993909835815,21.959070920944214,22.86131501197815,23.74503493309021,21.581239938735962,21.24648904800415,21.70019793510437,21.447860956192017,21.665677070617676,22.196900129318237,21.193999767303467,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
#60.0,216000.0,48.47905101776123,0.9311013616797146,210.0,0.0,53.56966280937195,49.51124596595764,48.97745704650879,48.619303941726685,48.02625894546509,46.97837710380554,50.28427004814148,48.033971071243286,47.79772710800171,48.20222091674805,48.35967803001404,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
#80.0,512000.0,210.50514888763428,2.1877475685604546,270.0,0.0,217.43098306655884,211.65988993644714,210.49611115455627,209.34487104415894,214.98998188972473,212.41992807388306,208.97755694389343,208.4664089679718,211.6877579689026,209.10552096366882,207.903461933136,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
#100.0,1.0e6,757.0246006965638,11.346974093233628,330.0,0.0,775.9436450004578,744.0295741558075,746.290206193924,751.3252370357513,780.5187938213348,763.2575650215149,759.5420999526978,766.7885518074036,760.102667093277,746.225389957428,752.1659219264984,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
