volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.0054932117462158205,0.0028559497601787884,20.0,0.0,7.488612174987793,0.0036220550537109375,0.004456996917724609,0.00445103645324707,0.004492998123168945,0.004642009735107422,0.0047190189361572266,0.004702091217041016,0.004621028900146484,0.005733013153076172,0.01349186897277832,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,8000.0,0.041196608543396,0.0034768973928577702,30.0,0.0,0.16196918487548828,0.04552197456359863,0.04731297492980957,0.03928399085998535,0.03876614570617676,0.038915157318115234,0.03944516181945801,0.03872203826904297,0.03964591026306152,0.03868389129638672,0.045668840408325195,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
30.0,27000.0,0.3393466711044312,0.11764993329552069,50.0,0.0,0.5272600650787354,0.317547082901001,0.2846839427947998,0.6471347808837891,0.2864570617675781,0.28530287742614746,0.2846400737762451,0.28155088424682617,0.43291497230529785,0.2888360023498535,0.28439903259277344,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
40.0,64000.0,0.955160403251648,0.12249157834423606,60.0,0.0,0.9708189964294434,0.8358378410339355,0.8260200023651123,1.053394079208374,0.8660919666290283,1.0330431461334229,0.8663229942321777,1.1738011837005615,0.8928608894348145,0.9113221168518066,1.092909812927246,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
50.0,125000.0,2.3170217752456663,0.15087409402897295,70.0,0.0,2.591362953186035,2.126863956451416,2.3130080699920654,2.4105658531188965,2.1270198822021484,2.528564929962158,2.39996600151062,2.42535400390625,2.106713056564331,2.441679000854492,2.290482997894287,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
#60.0,216000.0,6.099235010147095,0.22004867456535743,90.0,0.0,5.736775875091553,5.652449131011963,5.932992935180664,6.374273777008057,6.400629043579102,6.075675964355469,5.95645809173584,6.159358024597168,6.147921085357666,6.219436883926392,6.073155164718628,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
#80.0,512000.0,21.927705097198487,0.7330531998189039,110.0,0.0,20.345453023910522,20.511297941207886,23.38864803314209,21.895761013031006,22.47854208946228,21.786930084228516,21.411679983139038,21.88539695739746,22.20408797264099,21.764827966690063,21.949878931045532,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
#100.0,1.0e6,62.20869619846344,1.7765158356754587,140.0,0.0,64.38664507865906,61.38041090965271,61.91783308982849,61.70881509780884,65.16667914390564,61.75233602523804,60.59900379180908,60.31479787826538,60.64843702316284,63.56727695465088,65.0313720703125,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
