volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.028089499473571776,0.0023463612736150355,397.0,0.0,0.05076003074645996,0.02868819236755371,0.029477834701538086,0.028095006942749023,0.02560710906982422,0.02667689323425293,0.03241896629333496,0.02595686912536621,0.025834083557128906,0.026972055435180664,0.031167984008789062,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
20.0,8000.0,0.8738694906234741,0.09622374113838032,1614.0,0.0,0.8516831398010254,0.8392140865325928,0.8415670394897461,0.8449621200561523,0.8400850296020508,0.8400437831878662,1.1470458507537842,0.8413240909576416,0.8449130058288574,0.8616199493408203,0.8379199504852295,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0
30.0,27000.0,5.970052480697632,0.1930709971604681,3632.2,0.6324555320336759,5.951617002487183,6.289830923080444,6.005260944366455,6.328499794006348,5.929535865783691,5.959825038909912,5.936089992523193,5.832545042037964,5.812971115112305,5.8274619579315186,5.778504133224487,3632.0,3632.0,3632.0,3632.0,3632.0,3634.0,3632.0,3632.0,3632.0,3632.0
40.0,64000.0,26.90138030052185,0.7242616058483645,6442.5,0.97182531580755,27.09295415878296,26.647143840789795,26.35117197036743,26.4998722076416,28.598453998565674,27.056658029556274,26.91904902458191,27.059037923812866,26.615880012512207,25.912919998168945,27.3536159992218,6442.0,6442.0,6442.0,6442.0,6442.0,6442.0,6442.0,6445.0,6443.0,6443.0
50.0,125000.0,79.50277392864227,0.9792586845998196,10039.3,2.3118054512532935,79.61055397987366,79.01559400558472,78.07520508766174,78.87409996986389,80.71286702156067,79.06439304351807,78.96772003173828,79.30555295944214,81.36268711090088,80.21954202651978,79.43007802963257,10037.0,10038.0,10039.0,10037.0,10040.0,10040.0,10039.0,10044.0,10037.0,10042.0
#60.0,216000.0,193.69380061626435,1.0952100786664114,14415.1,1.9692073983655907,193.4725329875946,191.7487452030182,194.5177240371704,195.2782120704651,194.1900599002838,194.2292308807373,193.26820492744446,194.65185594558716,192.32234811782837,193.14795804023743,193.58366703987122,14417.0,14414.0,14419.0,14415.0,14415.0,14413.0,14413.0,14417.0,14414.0,14414.0
#80.0,512000.0,821.8981142282486,2.009441761386589,25498.2,4.541169697580376,823.4059829711914,819.0248279571533,820.3270690441132,821.8452589511871,821.8275630474091,826.794312953949,822.1795859336853,822.0871510505676,821.8336551189423,820.7411291599274,822.3205890655518,25500.0,25510.0,25500.0,25496.0,25497.0,25497.0,25495.0,25497.0,25495.0,25495.0
#100.0,1.0e6,2415.4871664762495,20.083293739681068,39668.1,8.211780156174017,2445.2248039245605,2383.846529006958,2403.1498630046844,2438.3955969810486,2410.8847920894623,2436.2498738765717,2403.2569959163666,2436.258774995804,2404.7453639507294,2438.764326095581,2399.319548845291,39663.0,39673.0,39689.0,39663.0,39663.0,39668.0,39664.0,39663.0,39664.0,39671.0
