volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.10347912311553956,0.007721919762375449,397.0,0.0,21.893678188323975,0.11883401870727539,0.1160430908203125,0.10431289672851562,0.10335493087768555,0.10084891319274902,0.09800100326538086,0.09805917739868164,0.0984649658203125,0.09837913513183594,0.09849309921264648,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
20.0,8000.0,0.40143933296203616,0.06270257760605205,1614.0,0.0,0.4159219264984131,0.3907620906829834,0.38190412521362305,0.49695801734924316,0.37540411949157715,0.37679386138916016,0.37947797775268555,0.5373740196228027,0.357205867767334,0.3578531742095947,0.3606600761413574,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0
30.0,27000.0,1.0716043949127196,0.08678851495676726,3632.2,0.42163702135578385,1.1039540767669678,0.9555261135101318,1.095824956893921,1.1313669681549072,1.1415209770202637,0.9573948383331299,1.0832531452178955,1.1707830429077148,1.1513538360595703,0.9460480213165283,1.0829720497131348,3632.0,3632.0,3633.0,3633.0,3632.0,3632.0,3632.0,3632.0,3632.0,3632.0
40.0,64000.0,2.2419894695281983,0.014284700881182487,6442.1,0.3162277660168379,2.3889739513397217,2.2464988231658936,2.275251865386963,2.2501401901245117,2.24153208732605,2.235301971435547,2.2379860877990723,2.247596025466919,2.230426788330078,2.2285778522491455,2.2265830039978027,6442.0,6442.0,6442.0,6442.0,6443.0,6442.0,6442.0,6442.0,6442.0,6442.0
50.0,125000.0,4.657512736320496,0.20368024258621756,10037.8,0.9189365834726815,4.635408878326416,4.475639820098877,4.511713981628418,4.934814929962158,4.52813196182251,4.530196189880371,4.950798034667969,4.554452896118164,4.964692831039429,4.556069850921631,4.56861686706543,10039.0,10038.0,10039.0,10038.0,10037.0,10037.0,10037.0,10039.0,10037.0,10037.0
#60.0,216000.0,48.46244554519653,13.32936985870657,14415.5,2.798809270624444,10.65483808517456,33.15708684921265,44.90668320655823,45.38759994506836,44.87195301055908,44.8721981048584,45.348812103271484,44.8450231552124,45.33926606178284,51.74585795402527,84.14997506141663,14416.0,14423.0,14414.0,14414.0,14414.0,14414.0,14414.0,14414.0,14416.0,14416.0
#80.0,512000.0,792.2228811979294,55.35502859554041,25499.8,9.366607354497857,626.2081069946289,894.8185758590698,847.4543399810791,860.1128280162811,801.4585919380188,754.4983968734741,752.6540231704712,749.6049420833588,755.6095399856567,759.5559921264648,746.4615819454193,25495.0,25498.0,25498.0,25495.0,25496.0,25495.0,25495.0,25505.0,25496.0,25525.0
#100.0,1.0e6,2287.054916906357,156.4947571288347,39669.3,8.731170215574389,2218.7488491535187,2264.861426115036,2283.7594389915466,2244.7000489234924,2242.019814014435,2212.4171900749207,2196.1948277950287,2132.5229308605194,2211.737107038498,2393.581595182419,2688.7547900676727,39670.0,39665.0,39663.0,39669.0,39671.0,39667.0,39666.0,39665.0,39664.0,39693.0
