volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.0038249015808105467,0.0025195859304634203,19.0,0.0,0.0030548572540283203,0.002977132797241211,0.003030061721801758,0.002997875213623047,0.0032188892364501953,0.010993003845214844,0.0030219554901123047,0.0029799938201904297,0.003000020980834961,0.0029969215393066406,0.003033161163330078,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
20.0,8000.0,0.03147151470184326,0.003862401942682229,28.0,0.0,0.09772109985351562,0.03100895881652832,0.041116952896118164,0.028016090393066406,0.03368711471557617,0.03109002113342285,0.028037071228027344,0.031286001205444336,0.027995824813842773,0.03126811981201172,0.03120899200439453,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
30.0,27000.0,0.11738114356994629,0.0038414420197851245,24.0,0.0,0.12726092338562012,0.11741113662719727,0.11378216743469238,0.1134340763092041,0.11693286895751953,0.1167759895324707,0.11808514595031738,0.11700296401977539,0.12654614448547363,0.11386680603027344,0.11997413635253906,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
40.0,64000.0,0.38478052616119385,0.10488332706183887,29.0,0.0,0.31244802474975586,0.46166300773620605,0.31493592262268066,0.3116178512573242,0.46141600608825684,0.31122612953186035,0.4578380584716797,0.31241893768310547,0.3059871196746826,0.30562305450439453,0.605079174041748,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
50.0,125000.0,0.820045280456543,0.08105044180249452,42.0,0.0,0.8571860790252686,0.8461129665374756,0.8455450534820557,0.692997932434082,0.8473339080810547,0.8455309867858887,0.7046420574188232,0.8922109603881836,0.895576000213623,0.7258620262145996,0.9046409130096436,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
#60.0,216000.0,1.7999454259872436,0.09705185781905126,56.0,0.0,1.8508529663085938,1.8605289459228516,1.8384480476379395,1.7592670917510986,1.7598350048065186,1.7489159107208252,1.783864974975586,1.7283310890197754,1.7380621433258057,1.7363169193267822,2.045884132385254,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
#80.0,512000.0,5.040083909034729,0.06556363134466395,58.0,0.0,5.01507306098938,5.047166109085083,5.168630838394165,4.999698162078857,5.150274991989136,4.979787111282349,5.023041009902954,4.992978096008301,5.010918855667114,5.013406038284302,5.014937877655029,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
#100.0,1.0e6,11.771060490608216,0.6345650820950305,76.0,0.0,12.009373903274536,13.374932050704956,12.161696910858154,11.864524126052856,11.437898874282837,11.47691297531128,11.151396036148071,11.334586143493652,11.43261981010437,11.70990800857544,11.766129970550537,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
