volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
5.0,125.0,0.0009135961532592774,1.0813245627615198e-5,50.0,0.0,0.001338958740234375,0.0009059906005859375,0.0009181499481201172,0.000926971435546875,0.0009210109710693359,0.0009288787841796875,0.0009191036224365234,0.0009000301361083984,0.0009100437164306641,0.00090789794921875,0.0008978843688964844,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
10.0,1000.0,0.045592737197875974,0.015038390250864415,202.0,0.0,0.03756594657897949,0.052607059478759766,0.03400611877441406,0.03819894790649414,0.03099799156188965,0.034861087799072266,0.04558515548706055,0.042449951171875,0.03456616401672363,0.0738840103149414,0.0687708854675293,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0
15.0,3375.0,2.633251690864563,0.33569056076965503,457.0,0.0,3.239442825317383,3.3009870052337646,2.886992931365967,2.4943599700927734,2.321413993835449,2.1514110565185547,2.3223159313201904,2.8211798667907715,2.5712451934814453,2.74031400680542,2.722296953201294,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0
20.0,8000.0,22.701356101036072,3.928636908771932,813.0,0.0,23.00831389427185,27.109750986099243,21.098186016082764,26.200210094451904,27.680461883544922,20.591537952423096,19.41850209236145,27.13043189048767,21.72052001953125,18.509870052337646,17.55409002304077,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0
25.0,15625.0,100.36552631855011,6.612148954309892,1269.0,0.0,108.95753407478333,96.9547770023346,104.26610898971558,97.23991894721985,97.12130403518677,95.41058802604675,117.26301908493042,102.60921311378479,95.91734099388123,99.85123991966248,97.02175307273865,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0,1269.0
30.0,27000.0,424.78180904388427,6.074647931998458,1825.0,0.0,429.48666501045227,429.28390884399414,421.50605607032776,419.90494298934937,417.78812313079834,427.7749400138855,421.7502040863037,438.8239541053772,424.3668329715729,425.3806371688843,421.2384910583496,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0
35.0,42875.0,1506.3357846736908,17.220149963379775,2479.0,0.0,1491.76318693161,1497.7035460472107,1496.3055419921875,1499.4320139884949,1496.1678450107574,1500.0033729076385,1498.6161539554596,1508.5847368240356,1510.0840020179749,1503.0798540115356,1553.3807799816132,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0
