volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
5.0,125.0,0.007499194145202637,0.004933477831112606,476.9,0.31622776601683794,0.0056688785552978516,0.02147698402404785,0.004806041717529297,0.005465030670166016,0.006185054779052734,0.006092071533203125,0.006273984909057617,0.006069183349609375,0.006331920623779297,0.006193876266479492,0.0060977935791015625,477.0,477.0,476.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0
10.0,1000.0,0.07072920799255371,0.01907780489867651,428.1,0.31622776601683794,0.07661199569702148,0.05840897560119629,0.08993816375732422,0.09800100326538086,0.10289311408996582,0.07300400733947754,0.05922198295593262,0.05999183654785156,0.05639004707336426,0.05640006065368652,0.05304288864135742,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,429.0,428.0
15.0,3375.0,2.313826894760132,0.120775103711434,357.8,0.9189365834726815,2.2752368450164795,2.5445749759674072,2.1775760650634766,2.324627161026001,2.281397819519043,2.2914538383483887,2.2123751640319824,2.47554612159729,2.326611042022705,2.1697099208831787,2.3343968391418457,358.0,358.0,359.0,358.0,357.0,358.0,358.0,357.0,359.0,356.0
20.0,8000.0,12.083527898788452,1.2873658374416457,327.4,2.270584848790187,13.599568128585815,10.056180953979492,13.673000812530518,12.930938005447388,11.180907011032104,11.871685028076172,13.440643072128296,10.26609206199646,13.22497296333313,12.45146107673645,11.739398002624512,327.0,330.0,329.0,329.0,325.0,328.0,330.0,323.0,327.0,326.0
25.0,15625.0,52.269069862365725,5.1024389781640735,314.7,4.137900702315393,47.05920886993408,59.768441915512085,50.49087882041931,60.576236963272095,49.87556600570679,51.5804648399353,45.86355710029602,45.71350288391113,53.82648205757141,55.06324100494385,49.93232703208923,317.0,316.0,312.0,312.0,318.0,317.0,308.0,318.0,309.0,320.0
30.0,27000.0,189.9611929655075,4.016779628417852,313.9,2.6436506745197805,186.04285979270935,186.91982507705688,187.3085298538208,197.47477197647095,191.68976998329163,186.79948496818542,195.42503714561462,192.237135887146,187.36472392082214,186.09593105316162,188.296719789505,317.0,317.0,313.0,314.0,313.0,318.0,313.0,313.0,310.0,311.0
