volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.10039241313934326,0.006561504121560346,398.0,0.0,21.21528697013855,0.11624288558959961,0.10680198669433594,0.10252809524536133,0.09888386726379395,0.0974111557006836,0.0964059829711914,0.09608221054077148,0.09642505645751953,0.09645700454711914,0.09668588638305664,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0
10.0,1000.0,6.115696287155151,0.013242414693302552,398.0,0.0,29.342490911483765,6.098662853240967,6.120218992233276,6.109947204589844,6.13044285774231,6.140544891357422,6.12627100944519,6.108944892883301,6.102988958358765,6.110754013061523,6.108187198638916,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0
10.0,1000.0,6.102203464508056,0.016849306643828423,397.0,0.0,27.457178115844727,6.099247932434082,6.086150169372559,6.090909957885742,6.110691070556641,6.1258368492126465,6.12366795539856,6.1218438148498535,6.094318866729736,6.082679986953735,6.086688041687012,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,6.103437900543213,0.01942987370448105,397.0,0.0,26.550620079040527,6.084423065185547,6.1045660972595215,6.093603849411011,6.146347999572754,6.122931957244873,6.114171028137207,6.091986894607544,6.098610162734985,6.085500001907349,6.092237949371338,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,6.095598149299621,0.01646161170742877,397.0,0.0,26.535500049591064,6.099575042724609,6.084737062454224,6.082601070404053,6.118312120437622,6.120430946350098,6.1075499057769775,6.101762056350708,6.085961103439331,6.083717107772827,6.071335077285767,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,6.105794143676758,0.012791955659055443,397.0,0.0,27.040212154388428,6.106001138687134,6.10273289680481,6.090626955032349,6.111669063568115,6.123993158340454,6.119779109954834,6.112487077713013,6.108094930648804,6.101289987564087,6.0812671184539795,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,6.089145588874817,0.017384797562408717,397.0,0.0,26.881727933883667,6.090346813201904,6.103260040283203,6.106647968292236,6.106027126312256,6.089948892593384,6.057803153991699,6.08869194984436,6.065676927566528,6.077692031860352,6.105360984802246,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,6.092483472824097,0.01273028293267002,397.0,0.0,26.883198022842407,6.070256948471069,6.0715789794921875,6.106825113296509,6.102531909942627,6.095118999481201,6.099675893783569,6.103288173675537,6.086499929428101,6.0953288078308105,6.0937299728393555,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,6.096215486526489,0.016342358678546647,397.0,0.0,26.94446301460266,6.0745849609375,6.120393991470337,6.108733892440796,6.11095404624939,6.113609075546265,6.081634998321533,6.078391075134277,6.086350917816162,6.097930908203125,6.089570999145508,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,0.10530810356140137,0.01701554644750894,397.0,0.0,21.381306886672974,0.11987090110778809,0.10751104354858398,0.10403895378112793,0.1015160083770752,0.09956216812133789,0.09904193878173828,0.14691686630249023,0.09099912643432617,0.09215497970581055,0.09146904945373535,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,1.5215893507003784,0.033742590761583896,397.0,0.0,22.081116199493408,1.5100221633911133,1.5111560821533203,1.5104320049285889,1.510066032409668,1.5102651119232178,1.5125279426574707,1.5106818675994873,1.5108270645141602,1.5123250484466553,1.6175901889801025,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,0.7426172494888306,0.0010372778056925375,397.0,0.0,21.616132020950317,0.7439548969268799,0.7417600154876709,0.7408888339996338,0.7411139011383057,0.7427768707275391,0.7436559200286865,0.7433440685272217,0.7429680824279785,0.7427079677581787,0.7430019378662109,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
10.0,1000.0,0.9311065196990966,0.0015773988603058739,397.0,0.0,21.85936212539673,0.9289469718933105,0.9299430847167969,0.9312319755554199,0.9294850826263428,0.9316020011901855,0.9312150478363037,0.9320540428161621,0.9298441410064697,0.9327700138092041,0.9339728355407715,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0
