volumenes, dimensiones_matriz, media, desviacion_estandar, media_iteraciones, desvest_iteraciones, tiempo_compilacion, tiempo_1, tiempo_2, tiempo_3, tiempo_4, tiempo_5, tiempo_6, tiempo_7, tiempo_8, tiempo_9, tiempo_10, iteraciones_1, iteraciones_2, iteraciones_3, iteraciones_4, iteraciones_5, iteraciones_6, iteraciones_7, iteraciones_8, iteraciones_9, iteraciones_10
10.0,1000.0,0.006323075294494629,0.007249970592188594,19.0,0.0,4.657454967498779,0.004140138626098633,0.026932954788208008,0.003075838088989258,0.003950834274291992,0.004156827926635742,0.0041599273681640625,0.004146099090576172,0.004147052764892578,0.004261016845703125,0.004260063171386719,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
10.0,1000.0,0.005092000961303711,0.006709521277966907,19.0,0.0,5.056631088256836,0.0030870437622070312,0.0029299259185791016,0.0029489994049072266,0.0029120445251464844,0.0030210018157958984,0.024187088012695312,0.0029649734497070312,0.002958059310913086,0.0029349327087402344,0.002975940704345703,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
20.0,8000.0,0.036695098876953124,0.0021999007547578555,29.0,0.0,0.1077718734741211,0.04215598106384277,0.036974191665649414,0.03732609748840332,0.03544902801513672,0.03514885902404785,0.037442922592163086,0.03498482704162598,0.035073041915893555,0.03736114501953125,0.035034894943237305,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
30.0,27000.0,0.22924327850341797,0.09126710193876099,48.0,0.0,0.28926777839660645,0.45490407943725586,0.1903529167175293,0.18789410591125488,0.18680596351623535,0.18590188026428223,0.3318510055541992,0.19037199020385742,0.19253087043762207,0.1860959529876709,0.18572402000427246,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
40.0,64000.0,0.6365324974060058,0.049744193087749286,76.0,0.0,0.6228229999542236,0.6176750659942627,0.620232105255127,0.6163301467895508,0.618276834487915,0.618549108505249,0.6165378093719482,0.6193199157714844,0.619286060333252,0.7763609886169434,0.6427569389343262,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
50.0,125000.0,1.69752094745636,0.034747876870120986,95.0,0.0,1.7333571910858154,1.6965770721435547,1.6882050037384033,1.6897759437561035,1.7329051494598389,1.7799091339111328,1.6961309909820557,1.6858680248260498,1.673192024230957,1.6675441265106201,1.6651020050048828,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
60.0,216000.0,4.158781337738037,0.3455005699387717,120.0,0.0,4.091975212097168,3.8497960567474365,4.039474010467529,3.944005012512207,3.894162893295288,4.2909910678863525,3.8154311180114746,3.965433120727539,4.713497161865234,4.336087942123413,4.7389349937438965,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
80.0,512000.0,14.707289934158325,0.5328117111106827,174.0,0.0,14.05265212059021,13.959816932678223,14.435424089431763,14.415482997894287,14.826938152313232,14.942289113998413,14.383091926574707,14.85561203956604,15.975622177124023,14.74576187133789,14.532860040664673,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0
100.0,1.0e6,42.009691905975345,1.5107717837229964,264.0,0.0,38.93346405029297,40.18048882484436,41.98627209663391,40.97650384902954,44.36254811286926,41.211708068847656,43.01962208747864,42.282150983810425,41.506624937057495,40.22932004928589,44.34168004989624,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
10.0,1000.0,0.0038249015808105467,0.0025195859304634203,19.0,0.0,0.0030548572540283203,0.002977132797241211,0.003030061721801758,0.002997875213623047,0.0032188892364501953,0.010993003845214844,0.0030219554901123047,0.0029799938201904297,0.003000020980834961,0.0029969215393066406,0.003033161163330078,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
